"Data";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";"Brasil"
"12/2019";29;44;99;6;261;54;85;212;188;868;303;214;936;230;128;809;2761;936;1162;6043;2711;1299;2809;387;309;650;249;23782
"01/2020";47;36;106;2;238;41;85;222;227;809;412;170;1032;271;140;804;2695;898;1294;6420;2561;1180;2733;225;304;708;297;23957
"02/2020";34;32;140;2;289;77;93;192;236;781;252;194;923;273;149;818;2667;819;1171;6357;2796;1334;2744;301;250;692;278;23894
"03/2020";64;36;83;7;199;46;86;170;180;777;360;227;1012;205;76;933;2424;752;1099;5871;2524;1260;3181;274;268;696;325;23135
"04/2020";48;14;120;4;218;50;77;126;138;671;215;174;569;186;148;636;1798;535;1013;3976;1685;960;2069;181;189;467;337;16604
"05/2020";36;14;100;8;230;16;82;107;137;607;213;151;479;231;102;632;2001;366;906;3779;1783;816;1757;215;256;590;293;15907
"06/2020";24;17;62;2;169;9;80;93;157;574;313;142;542;158;109;577;2056;394;722;4079;1516;907;2053;211;118;581;216;15881
"07/2020";59;21;88;5;232;17;81;114;174;608;341;156;627;200;94;632;2152;461;917;4384;1642;878;2136;205;156;543;181;17104
"08/2020";45;19;120;11;201;39;68;147;155;600;312;194;803;216;83;592;2053;448;1311;4730;2277;892;2109;194;218;594;237;18668
"09/2020";55;22;90;7;145;42;73;132;181;634;360;202;807;231;93;697;2180;437;1042;5267;1796;1057;2078;105;278;670;205;18886
"10/2020";14;23;82;7;223;47;79;199;179;678;320;229;1025;202;111;775;2384;744;1223;5605;2109;1101;2382;134;221;653;194;20943
"11/2020";35;23;138;11;358;40;75;170;173;803;425;191;886;328;136;791;2420;738;1140;5872;1991;1018;2288;206;223;664;187;21330
"12/2020";37;21;102;3;245;41;83;163;206;723;351;172;801;363;158;685;2182;727;1189;5120;1726;987;2314;185;248;654;216;19702
"01/2021";33;18;66;-;332;55;65;190;225;795;392;162;772;265;178;537;2056;722;902;5058;1489;1081;2211;186;238;629;227;18884
"02/2021";33;24;113;4;242;45;81;206;241;764;323;196;782;244;127;566;2257;741;963;4842;1834;1017;1972;255;212;645;263;18992
"03/2021";41;7;94;2;229;42;62;216;201;672;362;243;777;256;158;614;2259;773;1164;4594;1469;928;1714;178;264;563;287;18169
"04/2021";44;19;131;3;228;28;59;187;184;698;364;193;842;159;160;665;1837;567;1112;3792;1380;905;1622;197;193;501;266;16336
"05/2021";79;19;122;2;229;42;64;188;208;675;322;186;714;160;257;559;1868;634;1090;4228;1396;865;1862;173;224;548;295;17009
"06/2021";59;13;127;2;259;39;58;192;205;664;285;225;690;187;184;654;1869;681;1311;4473;1589;1159;2070;212;311;566;299;18383
"07/2021";59;28;102;1;256;27;62;264;202;763;322;231;835;214;133;836;2167;719;1238;4838;1614;1007;2261;178;217;590;355;19519
"08/2021";84;27;116;8;216;33;68;245;235;818;328;235;925;217;94;878;2356;802;1285;5294;1907;1281;2396;200;318;649;288;21303
"09/2021";80;34;160;2;255;33;73;242;224;990;360;179;923;289;211;848;2562;761;1242;5669;2068;1164;2362;156;279;723;338;22227
"10/2021";47;43;130;3;375;44;-;245;238;921;236;193;877;222;213;844;2499;853;1271;5540;2040;1186;2286;221;220;608;299;21654
